Unnamed: 0,GENE,MUTATION_REMARK,GENOMIC_MUTATION_ID,FUSION_ID,MUTATION_AA_SYNTAX,DISEASE,ACTIONABILITY_RANK,DEVELOPMENT_STATUS,DRUG_COMBINATION,TESTING_REQUIRED,TRIAL_STATUS,TRIAL_ID,TRIAL_NAME,COMPLETION_STATUS,TRIAL_PRIMARY_COMPLETION_DATE,PATIENT_PRESCREENING,RESULTS_AVAILABILITY,PROGRESSION_REMARK,SOURCE_TYPE,SOURCE,TREATMENT_HISTORY,PATIENT_AGE,PRIMARY_OUTCOME_MEASURE,NUMBER_OF_PATIENTS,TREATED_NUMBER,CONTROL_NUMBER,CONTROL_TREATMENT,ORR_TREAT,ORR_CON,ORR_CI,ORR_PVAL,DOR_TREAT,DOR_CON,DOR_CI,DOR_PVAL,PFS_TREAT,PFS_CON,PFS_HR,PFS_CI,PFS_PVAL,TTP_TREAT,TTP_CON,TTP_HR,TTP_CI,TTP_PVAL,DCR_TREAT,DCR_CON,DCR_PVAL,OS_TREAT,OS_CON,OS_HR,OS_CI,OS_PVAL,OBJ_RR_TREAT,CR_COUNT,PR_COUNT,SD_COUNT,RFS_TREAT,RFS_CON,RFS_HR,RFS_CI,RFS_PVAL,BLOOD_RESPONSE,RESPONSE_VALUE,TIMEPOINT,CLASSIFICATION_ID,LAST_UPDATED,COSMIC_PHENOTYPE_ID,SITE_PRIMARY_COSMIC,SITE_SUBTYPE1_COSMIC,SITE_SUBTYPE2_COSMIC,SITE_SUBTYPE3_COSMIC,HISTOLOGY_COSMIC,HIST_SUBTYPE1_COSMIC,HIST_SUBTYPE2_COSMIC,HIST_SUBTYPE3_COSMIC
5135.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5136.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5137.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5138.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5139.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5140.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5141.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5142.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5143.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5144.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5145.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5146.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
5147.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT00431067,,PCD,2009Aug01,Expression confirmed,Yes,,4.0,NCT00431067,Previously-treated,,Overall Response Rate,41.0,41.0,,,9.8,,,,,,,,3.49,,,1.87-3.85,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,COSO28394862,2021Oct11,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
13442.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT01441596,,PCD,2014Feb01,Overexpression,Yes,CNSN 12w 30.0 v 41.9%,4.0,NCT01441596,Previously-treated,,No CNS progression,83.0,40.0,43.0,Physician's choice,,,,,,,,,2.75,4.25,,,,,,,,,,,,13.32,12.02,,,,,,,,,,,,,,,,COSO28394862,2022Nov28,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
13443.0,ERBB2,ERBB2_unspecified,,,,breast / carcinoma / NS,2.0,Phase 2,Afatinib,,Completed,NCT01441596,,PCD,2014Feb01,Overexpression,Yes,CNSN 12w 30.0 v 41.9%,4.0,NCT01441596,Previously-treated,,No CNS progression,83.0,40.0,43.0,Physician's choice,,,,,,,,,2.75,4.25,,,,,,,,,,,,13.32,12.02,,,,,,,,,,,,,,,,COSO28394862,2022Nov28,COSO28394862,breast,NS,NS,NS,carcinoma,NS,NS,NS
