,list,ratio
0,PIK3CA,0.41343310602860417
1,TP53,0.3295516263351638
2,CDH1,0.07688129865427554
3,GATA3,0.06613964154245368
4,ESR1,0.06463098183573714
5,MED12,0.06251885824633396
6,KMT2C,0.05962223160943818
7,MAP3K1,0.04694949007301913
8,PTEN,0.03952688431597369
9,LRP1B,0.03524229074889868
10,NF1,0.03481986603101804
11,ERBB4,0.03397501659525677
12,ZFHX3,0.033733631042182126
13,ERBB2,0.033492245489107474
14,ARID1A,0.0331301671594955
15,AKT1,0.03294912799468952
16,PTPRT,0.02981111580471909
17,ALK,0.029207651922032465
18,RUNX1,0.028121416933196548
19,NCOR1,0.026974835556091967
20,GRIN2A,0.026552410838211332
21,ARID1B,0.02480236557842013
22,KMT2D,0.024742019190151468
23,FHIT,0.024319594472270833
24,ATM,0.023836823366121536
25,CAMTA1,0.023474745036509564
26,TBX3,0.022991973930360267
27,RB1,0.022569549212479632
28,BRCA2,0.022328163659404984
29,AFF3,0.021966085329793012
30,MAP2K4,0.021362621447106392
31,ATRX,0.02069881117615111
32,PREX2,0.02069881117615111
33,EGFR,0.019371190634240542
34,FOXP1,0.01931084424597188
35,LPP,0.019190151469434553
36,NOTCH2,0.018647033975016596
37,NTRK3,0.01852634119847927
38,FAT1,0.018405648421941947
39,KMT2A,0.018284955645404624
40,ATR,0.018284955645404624
41,FOXA1,0.017983223704061312
42,EBF1,0.017681491762718
43,RAD51B,0.01762114537444934
44,SPEN,0.017259067044837366
45,PRDM16,0.017138374268300043
46,MTOR,0.01683664232695673
47,PTPRK,0.016353871220807434
48,GPC3,0.016172832056001448
49,GPHN,0.016112485667732785
50,AR,0.015991792891195462
51,CREBBP,0.0159314465029268
52,BRCA1,0.015810753726389477
53,CUX1,0.015509021785046165
54,PIK3R1,0.015448675396777503
55,ROS1,0.015207289843702855
56,ERG,0.014965904290628206
57,RSPO2,0.014905557902359545
58,SETD2,0.014845211514090881
59,STAG2,0.01478486512582222
60,MAML2,0.014603825961016233
61,ERBB3,0.014483133184478908
62,EXT1,0.014422786796210247
