,list,ratio
0,TP53,0.41093184063220284
1,CTNNB1,0.3654922621007573
2,AXIN1,0.06717155087257162
3,ARID1A,0.038524860059269014
4,ARID2,0.03589068159367797
5,LRP1B,0.0319394138952914
6,PREX2,0.02798814619690484
7,PIK3CA,0.024366150806717154
8,TSC2,0.022719789265722753
9,KMT2C,0.02140270003292723
10,NFE2L2,0.018768521567336188
11,PTEN,0.017451432334540665
12,PTPRB,0.017122160026341784
13,ATM,0.016463615409944024
14,SETD2,0.016463615409944024
15,KMT2D,0.016134343101745142
16,PDE4DIP,0.015805070793546264
17,RB1,0.015805070793546264
18,ZNF521,0.015805070793546264
19,ERBB4,0.015146526177148501
20,NTRK3,0.015146526177148501
21,ZFHX3,0.015146526177148501
22,ALK,0.014817253868949621
23,PTPRT,0.014817253868949621
24,APC,0.014817253868949621
25,ARID1B,0.014817253868949621
26,RNF213,0.014487981560750741
27,PTPN13,0.014487981560750741
28,NF1,0.014487981560750741
29,CDKN2A,0.01415870925255186
30,FAT4,0.01415870925255186
31,CAMTA1,0.01382943694435298
32,SND1,0.013170892327955219
33,ATR,0.013170892327955219
34,CREBBP,0.013170892327955219
35,KMT2A,0.013170892327955219
36,GRIN2A,0.012841620019756339
37,KEAP1,0.012841620019756339
38,KIT,0.012841620019756339
39,EGFR,0.012841620019756339
40,NCOR2,0.012512347711557459
41,SMARCA4,0.012512347711557459
42,FLT4,0.012183075403358577
43,CDH11,0.012183075403358577
44,PRDM16,0.012183075403358577
45,JAK1,0.012183075403358577
46,HNF1A,0.011853803095159697
47,PTPRK,0.011853803095159697
48,PTPRC,0.011195258478761936
49,TRRAP,0.011195258478761936
50,POLQ,0.011195258478761936
51,BRAF,0.011195258478761936
52,KDR,0.010536713862364174
53,CARD11,0.010536713862364174
54,GPHN,0.010536713862364174
55,FAT1,0.009878169245966415
56,CUX1,0.009878169245966415
57,RUNX1T1,0.009878169245966415
58,ROS1,0.009878169245966415
59,KRAS,0.009548896937767533
60,MTOR,0.009548896937767533
61,BRCA2,0.009548896937767533
62,GPC3,0.009548896937767533
63,EBF1,0.009548896937767533
64,NOTCH1,0.009548896937767533
65,NCOR1,0.009548896937767533
66,SPEN,0.009219624629568653
67,TPR,0.009219624629568653
68,GAS7,0.009219624629568653
69,UBR5,0.009219624629568653
70,PBRM1,0.009219624629568653
71,EP300,0.009219624629568653
72,CACNA1D,0.009219624629568653
73,MAML2,0.009219624629568653
74,RANBP2,0.009219624629568653
75,NOTCH2,0.008890352321369773
76,ERC1,0.008890352321369773
77,MLLT3,0.008890352321369773
78,ARHGEF12,0.008890352321369773
79,AXIN2,0.008890352321369773
80,ACVR2A,0.008890352321369773
81,IL6ST,0.008890352321369773
82,ATRX,0.008561080013170892
83,ASXL1,0.008561080013170892
84,TSC1,0.008561080013170892
85,FANCD2,0.008561080013170892
86,CDH1,0.008561080013170892
87,AFF1,0.008231807704972012
88,RAD51B,0.008231807704972012
89,NUP214,0.008231807704972012
90,MSI2,0.008231807704972012
91,NCOA2,0.008231807704972012
92,NSD1,0.008231807704972012
93,KAT6A,0.008231807704972012
94,FOXP1,0.008231807704972012
95,NUP98,0.008231807704972012
96,IKZF1,0.008231807704972012
97,POLE,0.007902535396773132
98,FHIT,0.007902535396773132
99,GNAS,0.007902535396773132
100,MYH9,0.007902535396773132
101,TET1,0.007902535396773132
102,KAT6B,0.007902535396773132
103,MECOM,0.007573263088574251
104,NSD2,0.007573263088574251
105,SMARCB1,0.007573263088574251
106,PDGFRA,0.007573263088574251
107,TP63,0.007573263088574251
108,TERT,0.007573263088574251
109,CLTCL1,0.007573263088574251
110,AFF3,0.007573263088574251
111,MYO5A,0.007573263088574251
112,CLTC,0.007573263088574251
113,LPP,0.007573263088574251
114,KTN1,0.007573263088574251
115,BAP1,0.007573263088574251
116,BLM,0.007243990780375371
117,COL1A1,0.007243990780375371
118,TET2,0.007243990780375371
119,AR,0.007243990780375371
120,CLIP1,0.007243990780375371
121,IL21R,0.007243990780375371
122,MYH11,0.007243990780375371
123,ERG,0.007243990780375371
124,TBL1XR1,0.007243990780375371
125,CNTRL,0.007243990780375371
126,COL2A1,0.007243990780375371
127,RUNX1,0.00691471847217649
128,DICER1,0.00691471847217649
129,AMER1,0.00691471847217649
130,IDH1,0.00691471847217649
131,SETBP1,0.00691471847217649
132,PBX1,0.00691471847217649
133,CBFA2T3,0.006585446163977609
134,FGFR4,0.006585446163977609
135,KDM6A,0.006585446163977609
136,MITF,0.006585446163977609
137,SLC34A2,0.006585446163977609
138,HIP1,0.006256173855778729
139,ARHGAP35,0.006256173855778729
140,JAK2,0.006256173855778729
