,list,ratio
0,KRAS,0.4896531566640686
1,BRAF,0.22470771628994543
2,TP53,0.16870615744349182
3,APC,0.12768901013250195
4,PIK3CA,0.062334372564302416
5,FBXW7,0.02102494154325799
6,SMAD4,0.019485580670303974
7,LRP1B,0.013289166017147311
8,RNF43,0.012665627435697584
9,CTNNB1,0.01264614185502728
10,FAT4,0.01254871395167576
11,TCF7L2,0.01196414653156664
12,NRAS,0.011691348402182385
13,KMT2C,0.011574434918160561
14,ATM,0.010872954014029618
15,KMT2D,0.010600155884645362
16,ARID1A,0.009664848012470771
17,GNAS,0.009158222915042868
18,PTEN,0.009041309431021044
19,PTPRT,0.00892439594699922
20,AMER1,0.008846453624318004
21,POLE,0.008749025720966485
22,NF1,0.008671083398285269
23,ZFHX3,0.008651597817614966
24,ACVR2A,0.008456742010911926
25,FAT1,0.007950116913484021
26,ERBB4,0.007560405300077943
27,TRRAP,0.007209664848012471
28,TGFBR2,0.007092751363990647
29,MTOR,0.007014809041309431
30,MSH6,0.007014809041309431
31,RNF213,0.006975837879968823
32,EGFR,0.00676149649259548
33,NOTCH1,0.006742010911925176
34,CREBBP,0.006644583008573656
35,EP300,0.006644583008573656
36,CARD11,0.006625097427903352
37,ERBB2,0.0066056118472330476
38,NCOR2,0.006391270459859704
39,PREX2,0.006332813717848792
40,FLT4,0.006313328137178488
41,GRIN2A,0.00627435697583788
42,ARID1B,0.006254871395167576
43,ATRX,0.006196414653156664
44,KMT2A,0.006196414653156664
45,ALK,0.006060015588464536
46,SMARCA4,0.006001558846453624
47,BRCA2,0.005806703039750585
48,SPEN,0.0055728760717069364
49,MYH11,0.0055728760717069364
50,ROS1,0.0055728760717069364
51,ERBB3,0.005475448168355417
52,AXIN2,0.005436477007014809
53,SMAD2,0.005339049103663289
54,PDE4DIP,0.005319563522992985
55,TSC2,0.005319563522992985
56,ARID2,0.005319563522992985
57,UBR5,0.005202650038971161
58,KDR,0.00514419329696025
59,MSH2,0.005124707716289946
60,PTCH1,0.005085736554949338
61,NCOR1,0.005066250974279034
62,ASXL1,0.004988308651597818
63,NOTCH2,0.004968823070927514
64,MLH1,0.00494933749025721
65,CHD4,0.004871395167575994
66,AR,0.00485190958690569
67,BCL9L,0.0048129384255650816
68,SETD2,0.0047934528448947775
69,TPR,0.0047934528448947775
70,CIC,0.0047739672642244735
71,PIK3R1,0.0047739672642244735
72,ATR,0.004715510522213562
73,MED12,0.004676539360872954
74,HLA-A,0.00465705378020265
75,RET,0.00465705378020265
76,PDGFRA,0.004481683554169914
77,SMAD3,0.004481683554169914
78,RUNX1T1,0.004345284489477786
79,CAMTA1,0.004247856586126267
80,BCOR,0.004247856586126267
81,CDH11,0.004228371005455963
82,NRG1,0.004228371005455963
83,TET1,0.004228371005455963
84,CUX1,0.004228371005455963
85,NTRK3,0.004208885424785659
86,POLD1,0.004208885424785659
87,DICER1,0.004189399844115355
88,BCORL1,0.004169914263445051
89,PBRM1,0.004169914263445051
90,B2M,0.004169914263445051
91,AFF3,0.004169914263445051
92,NSD1,0.004150428682774747
93,KIT,0.004150428682774747
94,PTPRK,0.004130943102104443
95,MYH9,0.004111457521434139
96,KDM5A,0.004111457521434139
97,ESR1,0.004091971940763835
98,CACNA1D,0.004072486360093531
99,AFDN,0.004072486360093531
100,TET2,0.004014029618082619
101,AFF1,0.003955572876071707
102,POLQ,0.003916601714731099
103,PRDM16,0.003897116134060795
104,PTPN13,0.003819173811379579
105,FANCA,0.003819173811379579
106,LATS2,0.0037802026500389713
107,NUMA1,0.0037802026500389713
108,RECQL4,0.0037412314886983633
109,IRS4,0.0036827747466874512
110,KAT6A,0.003663289166017147
111,BRD4,0.003643803585346843
112,MYO5A,0.003643803585346843
113,ATP2B3,0.003624318004676539
114,ZNF521,0.0035853468433359316
115,NIN,0.0035658612626656276
116,SND1,0.0035463756819953235
117,RB1,0.0035268901013250195
118,MET,0.0035074045206547155
119,ABL1,0.0035074045206547155
120,CDK12,0.0034684333593141075
121,SETBP1,0.0034684333593141075
122,QKI,0.0034489477786438035
123,BCL9,0.0034489477786438035
124,DNMT3A,0.0034489477786438035
125,FGFR3,0.0034489477786438035
126,LIFR,0.0034489477786438035
127,FGFR2,0.0034294621979734994
128,COL2A1,0.003390491036632892
129,CASP8,0.003390491036632892
130,KAT6B,0.003371005455962588
131,KDM6A,0.003371005455962588
132,TERT,0.003351519875292284
133,COL1A1,0.0032930631332813718
134,WRN,0.0032930631332813718
135,ERCC2,0.0032735775526110678
136,MN1,0.0032735775526110678
137,PTPRC,0.0032540919719407637
138,MAP3K1,0.0032346063912704597
139,CIITA,0.0032151208106001557
140,TSC1,0.003195635229929852
141,PML,0.003176149649259548
142,RANBP2,0.003176149649259548
143,FANCD2,0.003176149649259548
144,CDH1,0.003156664068589244
