,list,ratio
0,EGFR,0.8447508413853002
1,KRAS,0.05504288350884812
2,TP53,0.03137552925849528
3,MET,0.025404407773314517
4,PIK3CA,0.014330691564433829
5,LRP1B,0.010205189447399848
6,BRAF,0.00955379437628922
7,ERBB2,0.006079687330365867
8,NFE2L2,0.005753989794810553
9,AKT1,0.005645423949625448
10,STK11,0.004994028878514819
11,PTEN,0.004125502117033981
12,FAT4,0.003691238736293562
13,KMT2D,0.0029312778199978287
14,KEAP1,0.002822711974812724
15,KMT2C,0.0026055802844425144
16,RB1,0.0024970144392574096
17,ERBB4,0.0024970144392574096
18,NF1,0.002388448594072305
19,TET2,0.0022798827488872
20,ALK,0.0021713169037020953
21,CREBBP,0.0021713169037020953
22,CTNNB1,0.0021713169037020953
23,ZFHX3,0.0020627510585169906
24,ZNF521,0.0020627510585169906
25,KDR,0.001954185213331886
26,SMARCA4,0.001845619368146781
27,TPR,0.001845619368146781
28,FBXW7,0.001845619368146781
29,POLQ,0.0017370535229616763
30,ATM,0.0017370535229616763
31,RNF213,0.0017370535229616763
32,ROS1,0.0016284876777765715
33,PDE4DIP,0.0016284876777765715
34,TSC2,0.0016284876777765715
35,CDKN2A,0.0016284876777765715
36,MAP2K1,0.0015199218325914667
37,DDR2,0.0015199218325914667
38,ARID1A,0.0015199218325914667
39,APC,0.0015199218325914667
40,PREX2,0.0015199218325914667
41,SETD2,0.0015199218325914667
42,NOTCH2,0.001411355987406362
43,BRCA2,0.001411355987406362
44,ATR,0.001411355987406362
45,NCOR1,0.001411355987406362
46,PTPRC,0.001411355987406362
47,NTRK3,0.001411355987406362
48,MTOR,0.0013027901422212572
49,PDGFRA,0.0013027901422212572
50,CDH11,0.0013027901422212572
51,POLE,0.0011942242970361524
52,MYH11,0.0011942242970361524
53,NSD1,0.0011942242970361524
54,DNMT3A,0.0011942242970361524
55,SDHA,0.0011942242970361524
56,MED12,0.0011942242970361524
57,SPEN,0.0011942242970361524
58,FAT1,0.0011942242970361524
59,COL2A1,0.0011942242970361524
60,EP300,0.0011942242970361524
61,NCOR2,0.0011942242970361524
62,PTPRB,0.0010856584518510477
63,ATRX,0.0010856584518510477
64,NUP214,0.0010856584518510477
65,BRIP1,0.0010856584518510477
66,CACNA1D,0.0010856584518510477
67,RBM10,0.0010856584518510477
68,TRRAP,0.0010856584518510477
69,CLTC,0.000977092606665943
70,NOTCH1,0.000977092606665943
71,BRCA1,0.000977092606665943
72,PTPRT,0.000977092606665943
73,AR,0.000977092606665943
74,GRIN2A,0.000977092606665943
75,AFDN,0.000977092606665943
76,LIFR,0.000977092606665943
77,SETBP1,0.000977092606665943
