,list,ratio
0,EGFR,0.622043827294424
1,KRAS,0.17253682408813673
2,TP53,0.13620693811624598
3,LRP1B,0.022564547624213494
4,PIK3CA,0.022106506593380103
5,STK11,0.018032352161230444
6,BRAF,0.017526096285046165
7,KEAP1,0.01733323690364263
8,MET,0.016802873604782914
9,RB1,0.01566982473903715
10,KMT2D,0.013837660615703575
11,ARID1A,0.013307297316843856
12,NF1,0.012487644945878836
13,KMT2C,0.012318892987150745
14,FAT1,0.011643885152238374
15,ERBB2,0.010992984740001446
16,ALK,0.010968877317326004
17,CDKN2A,0.010438514018466285
18,ATM,0.010414406595790845
19,SMARCA4,0.010414406595790845
20,FAT4,0.010317976905089076
21,ERBB4,0.010293869482413636
22,PTPRT,0.009329572575395965
23,NTRK3,0.009112605771316989
24,GRIN2A,0.008750994431185362
25,KDR,0.00846170535908006
26,PTEN,0.008196523709650202
27,NOTCH1,0.008124201441623876
28,APC,0.0076902678334659245
29,CREBBP,0.007642052988115041
30,ZFHX3,0.007569730720088715
31,PDGFRA,0.007545623297413273
32,ROS1,0.007015259998553554
33,ATRX,0.006918830307851787
34,NFE2L2,0.006870615462500904
35,RBM10,0.00667775608109737
36,SETBP1,0.006364359586316627
37,PDE4DIP,0.006316144740965744
38,MTOR,0.0062920373182903016
39,FLT4,0.006243822472939418
40,SETD2,0.006219715050263976
41,NOTCH2,0.006147392782237651
42,RNF213,0.006147392782237651
43,BRCA2,0.006123285359562209
44,PREX2,0.006026855668860442
45,ZNF521,0.005930425978158675
46,PTPRB,0.0058581037101323495
47,ATR,0.005833996287456908
48,MED12,0.005809888864781466
49,EP300,0.005761674019430583
50,KMT2A,0.005689351751404257
51,CARD11,0.005568814638027049
52,RET,0.005496492370000723
53,ARID2,0.005496492370000723
54,POLQ,0.005472384947325282
55,RUNX1T1,0.00544827752464984
56,CTNNB1,0.0054241701019743975
57,POLE,0.005400062679298956
58,ARID1B,0.005375955256623514
59,DDR2,0.005207203297895422
60,TSC2,0.005110773607193655
61,TRRAP,0.005086666184518213
62,TET1,0.004797377112412912
63,NCOR1,0.004749162267062028
64,AMER1,0.004725054844386587
65,NSD1,0.004725054844386587
66,AR,0.0046768399990357035
67,KIT,0.0046768399990357035
68,NCOR2,0.004628625153684819
69,NTRK1,0.004556302885658494
70,DNMT3A,0.004556302885658494
71,BRCA1,0.004532195462983052
72,SMAD4,0.004508088040307611
73,BCOR,0.004508088040307611
74,FBXW7,0.004483980617632169
75,SPEN,0.0044598731949567275
76,TPR,0.004411658349605844
77,PTPRC,0.004315228658904076
78,MYH11,0.004291121236228635
79,TET2,0.004267013813553193
80,CAMTA1,0.0042429063908777515
81,IL7R,0.004194691545526868
82,NRAS,0.004122369277500542
83,JAK2,0.004098261854825101
84,DICER1,0.004074154432149659
85,FLT3,0.003977724741447892
86,GNAS,0.0039295098960970085
87,TSHR,0.0039295098960970085
88,STAG2,0.003857187628070683
89,KDM6A,0.0037848653600443577
90,PTCH1,0.0037848653600443577
91,PDGFRB,0.003760757937368916
92,BCORL1,0.0037125430920180325
93,CDH11,0.003640220823991707
94,RANBP2,0.003616113401316265
95,ASXL1,0.0035920059786408234
96,TERT,0.00354379113328994
97,KDM5C,0.00354379113328994
98,IKZF1,0.0035196837106144982
99,TBX3,0.0035196837106144982
100,UBR5,0.003471468865263615
101,PBRM1,0.0034232540199127313
102,MYH9,0.0034232540199127313
103,WT1,0.003399146597237289
104,AKT1,0.0033750391745618474
105,ATP2B3,0.0033509317518864057
106,FANCA,0.003326824329210964
107,JAK3,0.003326824329210964
108,SF3B1,0.0033027169065355222
109,KDM5A,0.0033027169065355222
110,BRIP1,0.0032545020611846388
111,AFF3,0.0032545020611846388
112,CHEK2,0.0031821797931583136
113,RECQL4,0.0031821797931583136
114,COL2A1,0.0030857501024565462
115,ERBB3,0.0030857501024565462
116,TP63,0.0030616426797811045
117,NCOA2,0.0030375352571056628
118,KAT6A,0.003013427834430221
119,NIN,0.0029893204117547793
120,IRS4,0.0029893204117547793
121,MAP3K1,0.002941105566403896
122,DROSHA,0.002941105566403896
123,BTK,0.002941105566403896
124,SND1,0.002916998143728454
125,ARHGAP35,0.002916998143728454
126,PRDM16,0.0028928907210530124
127,ABL2,0.0028928907210530124
128,FCRL4,0.0028928907210530124
129,ITK,0.0028928907210530124
130,NUP214,0.0028446758757021285
131,SMO,0.0028446758757021285
132,EBF1,0.0028446758757021285
133,LATS1,0.0028205684530266868
134,WRN,0.0028205684530266868
135,FGFR4,0.002796461030351245
136,PALB2,0.002796461030351245
137,PTPRK,0.002796461030351245
138,USP6,0.002796461030351245
139,ERCC5,0.0027723536076758033
140,FGFR1,0.0027723536076758033
141,FGFR2,0.0027482461850003616
142,CUX1,0.0027482461850003616
143,MSH6,0.00272413876232492
144,CACNA1D,0.002700031339649478
145,CDK12,0.0026759239169740364
146,LATS2,0.0026759239169740364
147,AFDN,0.0026518164942985947
148,GATA3,0.0026518164942985947
149,MEN1,0.0026518164942985947
150,CIC,0.002603601648947711
151,BCL11B,0.002579494226272269
152,ABL1,0.0025553868035968273
153,MYO5A,0.0025553868035968273
154,TSC1,0.0025553868035968273
155,JAK1,0.0025553868035968273
156,ESR1,0.0025553868035968273
157,BCL11A,0.0025312793809213856
158,LIFR,0.002507171958245944
159,CBLB,0.002507171958245944
160,CDC73,0.002507171958245944
161,ARHGEF12,0.002483064535570502
162,COL1A1,0.002483064535570502
163,SDHA,0.002483064535570502
164,PTPN13,0.002483064535570502
165,CBL,0.002483064535570502
166,PAX5,0.0024589571128950604
167,BARD1,0.0024589571128950604
168,POLD1,0.0024348496902196187
169,TRIP11,0.0024348496902196187
170,KAT6B,0.0024348496902196187
171,MAP3K13,0.0024348496902196187
172,NBN,0.002410742267544177
173,NRG1,0.002410742267544177
174,CIITA,0.002386634844868735
175,BLM,0.002386634844868735
176,BCL9L,0.0023625274221932935
177,PPP2R1A,0.0023625274221932935
178,BCR,0.0023625274221932935
179,HIP1,0.0023384199995178517
180,MECOM,0.0023143125768424096
181,NCOA1,0.0023143125768424096
182,BRD4,0.0023143125768424096
183,GAS7,0.002290205154166968
184,NUTM1,0.002290205154166968
185,MAP2K1,0.002266097731491526
186,NFATC2,0.0022419903088160844
187,HNF1A,0.0022419903088160844
188,POT1,0.0022178828861406426
189,MSH2,0.0022178828861406426
190,PTPN11,0.002193775463465201
191,AXIN2,0.002193775463465201
192,U2AF1,0.002169668040789759
193,RUNX1,0.002169668040789759
194,NUP98,0.0021455606181143175
195,CDH1,0.0021455606181143175
196,NF2,0.0021455606181143175
197,LPP,0.0021214531954388757
198,CNTRL,0.0021214531954388757
199,CSF3R,0.002097345772763434
200,TGFBR2,0.002097345772763434
201,HLA-A,0.002097345772763434
202,ETV1,0.002097345772763434
203,NUMA1,0.0020732383500879923
204,EML4,0.0020732383500879923
205,PMS2,0.0020732383500879923
206,CLTCL1,0.0020491309274125505
207,RNF43,0.0020491309274125505
208,CHD4,0.0020491309274125505
209,CLIP1,0.0020491309274125505
210,KNL1,0.0020250235047371084
211,P2RY8,0.0020250235047371084
212,NSD2,0.0020009160820616666
213,PIK3R1,0.0020009160820616666
214,FANCD2,0.0020009160820616666
215,USP8,0.0020009160820616666
216,SALL4,0.001976808659386225
217,IDH1,0.001976808659386225
218,AXIN1,0.001976808659386225
219,ERCC4,0.0019285938140353415
220,ERCC2,0.0019285938140353415
221,GATA2,0.0019285938140353415
222,BCL6,0.0019044863913598997
223,ERC1,0.0019044863913598997
224,IL21R,0.0019044863913598997
225,RAD21,0.0019044863913598997
226,SLC34A2,0.0019044863913598997
227,PIK3CB,0.0019044863913598997
228,PCM1,0.001880378968684458
229,MLLT10,0.001880378968684458
230,PML,0.001880378968684458
231,ETV6,0.001880378968684458
232,FLI1,0.0018562715460090163
233,EXT2,0.0018562715460090163
234,KTN1,0.0018562715460090163
235,NSD3,0.0018562715460090163
236,LZTR1,0.0018562715460090163
237,FOXP1,0.0018321641233335743
238,STIL,0.0018321641233335743
239,PER1,0.0018080567006581326
240,IRF4,0.0018080567006581326
241,MN1,0.0018080567006581326
242,MAML2,0.0017839492779826909
243,PRDM1,0.0017839492779826909
244,FH,0.0017598418553072491
245,CBFA2T3,0.0017598418553072491
246,PAX3,0.0017598418553072491
247,BAP1,0.0017357344326318074
248,PBX1,0.0017357344326318074
249,FGFR3,0.0017357344326318074
250,AKT2,0.0017357344326318074
251,TNFAIP3,0.0017357344326318074
252,LRIG3,0.0017116270099563657
253,MLLT3,0.0017116270099563657
254,RAD51B,0.0017116270099563657
255,MPL,0.0017116270099563657
256,TRIM24,0.0017116270099563657
257,MUTYH,0.0017116270099563657
258,GPC3,0.0016875195872809237
259,DCTN1,0.0016875195872809237
260,MYB,0.0016875195872809237
261,CASP8,0.001663412164605482
262,CLTC,0.001663412164605482
263,RSPO2,0.001663412164605482
264,AFF1,0.001663412164605482
265,ZBTB16,0.0016393047419300403
266,PHOX2B,0.0016151973192545985
267,NKX2-1,0.0016151973192545985
268,ERCC3,0.0016151973192545985
269,EZH2,0.0016151973192545985
270,PPFIBP1,0.0016151973192545985
271,STRN,0.0015910898965791568
272,SYK,0.0015910898965791568
273,GPHN,0.0015910898965791568
274,MLH1,0.0015910898965791568
275,DAXX,0.0015669824739037148
276,B2M,0.0015669824739037148
277,TCF3,0.0015428750512282731
278,AFF4,0.0015428750512282731
279,TCF7L2,0.0015428750512282731
280,MSN,0.0015428750512282731
281,MYOD1,0.0015428750512282731
282,TOP1,0.0015187676285528314
283,CYLD,0.0015187676285528314
284,MYCN,0.0015187676285528314
285,MALT1,0.0015187676285528314
286,FCGR2B,0.0014946602058773897
287,RARA,0.0014946602058773897
288,TRIM33,0.001470552783201948
289,BCL9,0.001470552783201948
290,MAP2K4,0.001470552783201948
291,STAT3,0.0014464453605265062
292,FLCN,0.0014464453605265062
293,PAX7,0.0014464453605265062
294,CCNE1,0.0014464453605265062
295,RAF1,0.0014464453605265062
296,ERG,0.0014464453605265062
297,IKBKB,0.0014223379378510643
298,FIP1L1,0.0014223379378510643
299,TRAF7,0.0013982305151756225
300,CRLF2,0.0013982305151756225
301,REL,0.0013982305151756225
302,CTCF,0.0013982305151756225
303,RBM15,0.0013982305151756225
304,GATA1,0.0013982305151756225
305,FUBP1,0.0013982305151756225
306,ATIC,0.0013982305151756225
307,SUFU,0.0013982305151756225
308,DDX3X,0.0013741230925001808
309,QKI,0.0013741230925001808
310,XPO1,0.0013741230925001808
311,CARS,0.001350015669824739
312,KCNJ5,0.001350015669824739
313,EXT1,0.001350015669824739
314,FANCC,0.001350015669824739
315,MRTFA,0.001350015669824739
316,MITF,0.001350015669824739
317,RAP1GDS1,0.001350015669824739
318,PRF1,0.0013259082471492973
319,SMAD2,0.0013259082471492973
320,XPC,0.0013259082471492973
321,TAL1,0.0013259082471492973
322,NR4A3,0.0013259082471492973
323,DDX10,0.0013259082471492973
324,CREB3L2,0.0013259082471492973
325,EWSR1,0.0013259082471492973
326,FOXL2,0.0013259082471492973
327,EIF4A2,0.0013018008244738556
328,FOXO1,0.0013018008244738556
329,MAX,0.0012776934017984137
330,ZNF331,0.0012776934017984137
331,HIST1H3B,0.0012776934017984137
332,ACVR1B,0.001253585979122972
333,MDM4,0.001253585979122972
334,CCND2,0.001253585979122972
335,TCF12,0.001253585979122972
336,LEF1,0.0012294785564475302
337,TBL1XR1,0.0012294785564475302
338,KLK2,0.0012053711337720885
339,SRC,0.0012053711337720885
340,LCK,0.0012053711337720885
341,DNM2,0.0012053711337720885
342,PICALM,0.0012053711337720885
343,FBXO11,0.0012053711337720885
344,BMPR1A,0.0012053711337720885
345,BUB1B,0.0011812637110966467
346,PLCG1,0.0011812637110966467
347,SUZ12,0.0011812637110966467
348,WAS,0.0011571562884212048
349,EPS15,0.0011571562884212048
350,FOXA1,0.001133048865745763
351,HRAS,0.001133048865745763
352,ELF4,0.001133048865745763
353,PRRX1,0.001133048865745763
354,CXCR4,0.0011089414430703213
355,STAT6,0.0011089414430703213
356,ETV5,0.0011089414430703213
357,MYC,0.0011089414430703213
358,SFRP4,0.0011089414430703213
359,SMAD3,0.0011089414430703213
360,ZMYM2,0.0010848340203948796
361,GOLGA5,0.0010848340203948796
362,RSPO3,0.0010848340203948796
363,ARHGAP26,0.0010848340203948796
364,NDRG1,0.0010848340203948796
365,SMARCB1,0.0010848340203948796
366,GNAQ,0.0010848340203948796
367,EPAS1,0.0010848340203948796
368,ACVR1,0.0010607265977194379
369,TENT5C,0.0010607265977194379
370,WIF1,0.0010607265977194379
371,PAX8,0.0010366191750439961
372,SS18L1,0.0010366191750439961
373,FOXO4,0.0010366191750439961
374,TMPRSS2,0.0010366191750439961
375,MDM2,0.0010366191750439961
376,HOOK3,0.0010366191750439961
377,PPM1D,0.0010366191750439961
378,IKZF3,0.0010125117523685542
379,BRD3,0.0010125117523685542
380,SRSF2,0.0010125117523685542
381,CNOT3,0.0010125117523685542
382,HSP90AB1,0.0010125117523685542
383,ARNT,0.0009884043296931125
384,SLC45A3,0.0009884043296931125
385,GNA11,0.0009884043296931125
386,PSIP1,0.0009884043296931125
387,EIF3E,0.0009884043296931125
388,HOXD13,0.0009642969070176707
