,list,ratio
0,BRAF,0.9842628729699107
1,NRAS,0.005287674682110034
2,TSHR,0.0031474254060178774
3,AXIN1,0.0022661462923328716
4,KRAS,0.001258970162407151
5,GNAS,0.0010071761299257208
6,EGFR,0.0008812791136850056
7,HRAS,0.0007553820974442906
8,PIK3CA,0.0007553820974442906
9,APC,0.0003776910487221453
10,PTEN,0.0003776910487221453
11,DICER1,0.0003776910487221453
12,AKT1,0.0002517940324814302
13,ATM,0.0002517940324814302
14,ALK,0.0001258970162407151
15,FLT3,0.0001258970162407151
16,KMT2A,0.0001258970162407151
17,TP53,0.0001258970162407151
18,CTNNB1,0.0001258970162407151
