,GENE,MUTATION_REMARK,GENOMIC_MUTATION_ID,FUSION_ID,MUTATION_AA_SYNTAX,DISEASE,ACTIONABILITY_RANK,DEVELOPMENT_STATUS,DRUG_COMBINATION,TESTING_REQUIRED,TRIAL_STATUS,TRIAL_ID,TRIAL_NAME,COMPLETION_STATUS,TRIAL_PRIMARY_COMPLETION_DATE,PATIENT_PRESCREENING,RESULTS_AVAILABILITY,PROGRESSION_REMARK,SOURCE_TYPE,SOURCE,TREATMENT_HISTORY,PATIENT_AGE,PRIMARY_OUTCOME_MEASURE,NUMBER_OF_PATIENTS,TREATED_NUMBER,CONTROL_NUMBER,CONTROL_TREATMENT,ORR_TREAT,ORR_CON,ORR_CI,ORR_PVAL,DOR_TREAT,DOR_CON,DOR_CI,DOR_PVAL,PFS_TREAT,PFS_CON,PFS_HR,PFS_CI,PFS_PVAL,TTP_TREAT,TTP_CON,TTP_HR,TTP_CI,TTP_PVAL,DCR_TREAT,DCR_CON,DCR_PVAL,OS_TREAT,OS_CON,OS_HR,OS_CI,OS_PVAL,OBJ_RR_TREAT,CR_COUNT,PR_COUNT,SD_COUNT,RFS_TREAT,RFS_CON,RFS_HR,RFS_CI,RFS_PVAL,BLOOD_RESPONSE,RESPONSE_VALUE,TIMEPOINT,CLASSIFICATION_ID,LAST_UPDATED,COSMIC_PHENOTYPE_ID,SITE_PRIMARY_COSMIC,SITE_SUBTYPE1_COSMIC,SITE_SUBTYPE2_COSMIC,SITE_SUBTYPE3_COSMIC,HISTOLOGY_COSMIC,HIST_SUBTYPE1_COSMIC,HIST_SUBTYPE2_COSMIC,HIST_SUBTYPE3_COSMIC
0,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
1,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
2,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
3,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
4,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
5,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
6,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
7,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
8,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
9,AFP,AFP_unspecified,,,,liver / carcinoma / hepatocellular carcinoma,3,Approved FDA,Best supportive care + Ramucirumab,Required,Completed,NCT02435433,REACH-2,PCD,2018Mar15,Expression confirmed,Yes,,7,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125477s042lbl.pdf,,,Overall survival,292.0,197.0,95.0,Best supportive care + Placebo,4.6,1.1,,,,,,,2.8,1.6,0.45,0.34-0.60,<0.0001,,,,,,,,,8.5,7.3,0.71,0.53-0.95,0.020,,,,,,,,,,,,,COSO29825606,2023Jan23,COSO29825606,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS
