,GENE,MUTATION_REMARK,GENOMIC_MUTATION_ID,FUSION_ID,MUTATION_AA_SYNTAX,DISEASE,ACTIONABILITY_RANK,DEVELOPMENT_STATUS,DRUG_COMBINATION,TESTING_REQUIRED,TRIAL_STATUS,TRIAL_ID,TRIAL_NAME,COMPLETION_STATUS,TRIAL_PRIMARY_COMPLETION_DATE,PATIENT_PRESCREENING,RESULTS_AVAILABILITY,PROGRESSION_REMARK,SOURCE_TYPE,SOURCE,TREATMENT_HISTORY,PATIENT_AGE,PRIMARY_OUTCOME_MEASURE,NUMBER_OF_PATIENTS,TREATED_NUMBER,CONTROL_NUMBER,CONTROL_TREATMENT,ORR_TREAT,ORR_CON,ORR_CI,ORR_PVAL,DOR_TREAT,DOR_CON,DOR_CI,DOR_PVAL,PFS_TREAT,PFS_CON,PFS_HR,PFS_CI,PFS_PVAL,TTP_TREAT,TTP_CON,TTP_HR,TTP_CI,TTP_PVAL,DCR_TREAT,DCR_CON,DCR_PVAL,OS_TREAT,OS_CON,OS_HR,OS_CI,OS_PVAL,OBJ_RR_TREAT,CR_COUNT,PR_COUNT,SD_COUNT,RFS_TREAT,RFS_CON,RFS_HR,RFS_CI,RFS_PVAL,BLOOD_RESPONSE,RESPONSE_VALUE,TIMEPOINT,CLASSIFICATION_ID,LAST_UPDATED,COSMIC_PHENOTYPE_ID,SITE_PRIMARY_COSMIC,SITE_SUBTYPE1_COSMIC,SITE_SUBTYPE2_COSMIC,SITE_SUBTYPE3_COSMIC,HISTOLOGY_COSMIC,HIST_SUBTYPE1_COSMIC,HIST_SUBTYPE2_COSMIC,HIST_SUBTYPE3_COSMIC
0,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
1,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
2,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
3,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
4,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
5,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
6,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
7,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
8,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
9,APC,APC_unspecified,,,,large intestine / carcinoma / adenocarcinoma,3,Phase 1,Fluorouracil + Midostaurin + Radiotherapy,,Completed,NCT01282502,,PCD,2015Mar01,No,Yes,,2,10.1200/JCO.2018.36.15_suppl.e15674,,,Maximum tolerated dose/toxicity,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,COSO28664826,2021May18,COSO28664826,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS
